iter	Passed	Remaining
305	8273	45803
306	8281	45667
307	8315	45682
308	8328	45575
309	8372	45641
310	8399	45616
311	8438	45653
312	8476	45688
313	8528	45793
314	8563	45808
315	8609	45878
316	8643	45890
317	8651	45758
318	8688	45784
319	8701	45680
320	8734	45685
321	8772	45712
322	8810	45744
323	8845	45757
324	8879	45762
325	8914	45774
326	8933	45703
327	8968	45717
328	8975	45586
329	8983	45460
330	9027	45521
331	9058	45509
332	9075	45433
333	9099	45389
334	9134	45399
335	9170	45417
336	9206	45430
337	9238	45428
338	9246	45305
339	9253	45176
340	9290	45197
341	9328	45223
342	9362	45228
343	9397	45239
344	9410	45140
345	9446	45157
346	9455	45044
347	9463	44925
348	9500	44942
349	9534	44948
350	9557	44900
351	9592	44910
352	9599	44789
353	9645	44846
354	9683	44869
355	9718	44879
356	9753	44887
357	9789	44899
358	9802	44809
359	9839	44825
360	9857	44756
361	9892	44761
362	9905	44669
363	9939	44673
364	9978	44697
365	10013	44706
366	10047	44709
367	10081	44708
368	10114	44708
369	10135	44649
370	10184	44720
371	10219	44722
372	10233	44635
373	10240	44520
374	10273	44520
375	10287	44431
376	10324	44447
377	10332	44337
378	10366	44337
379	10388	44289
380	10423	44293
381	10436	44204
382	10459	44159
383	10483	44117
384	10541	44218
385	10577	44228
386	10611	44227
387	10647	44236
388	10673	44201
389	10707	44204
390	10742	44206
391	10754	44114
392	10788	44116
393	10824	44122
394	10856	44114
395	10890	44114
396	10929	44131
397	10977	44186
398	11015	44199
399	11051	44204
400	11084	44201
401	11097	44115
